Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
[ESPT] Shaka Zulu,77,27,2.85,29,0.89,0.31,2,1,1,1,15.00,-2.00,[ESPT] HiSpeedHilly: 5,ufuriousbro: 5,"M1 GARAND: 74, MK2 GRENADE: 2, M1A1 THOMPSON: 1",http://144.126.151.248:8010/#/gamescoreboard/8028
[ESPT] Valhalla,99,27,3.67,22,1.95,0.53,3,0,0,0,7.00,0.00,[ESPT] Shaka Zulu: 4,[ESPT] Joh: 7,"FG42 x4: 94, S-MINE: 3, UNKNOWN: 2",http://144.126.151.248:8010/#/gamescoreboard/8024
Dlo,95,3,31.67,53,1.1,0.03,1,2,0,0,53.00,10.00,Mattno: 1,LowBackPain: 6,"76MM M1 GUN [Sherman M4A3E2(76)]: 61, COAXIAL M1919 [Sherman M4A3E2(76)]: 13, 37MM CANNON [Stuart M5A1]: 10, 155MM HOWITZER [M114]: 8, COAXIAL M1919 [Stuart M5A1]: 3",http://144.126.151.248:8010/#/gamescoreboard/8024
Valtharyan,66,39,1.69,22,0.75,0.44,6,5,0,0,11.00,0.00,Dinkleberg: 19,[D.C.] kio: 13,"150MM HOWITZER [sFH 18]: 38, GEWEHR 43: 23, KARABINER 98K: 3, MP40: 1, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8024
[ESPT] WimZy,73,20,3.65,12,1.17,0.32,2,0,0,0,8.00,1.00,Pfc. EdsRevenge [10t: 4,REGGIE: 6,"M1 GARAND: 72, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8022
LunaticGuerrilla,65,35,1.86,16,0.9,0.49,4,1,0,0,6.00,0.00,[ESPT] Joh: 6,Manila Folders: 5,"M1 GARAND: 63, BAZOOKA: 2",http://144.126.151.248:8010/#/gamescoreboard/8005
-TL- dreyski,87,19,4.58,21,1.3,0.28,3,0,0,0,10.00,0.00,BandoftheDamned: 2,Lightly Toasted: 6,"BROWNING M1919: 47, M1 GARAND: 38, BAZOOKA: 1, COLT M1911: 1",http://144.126.151.248:8010/#/gamescoreboard/8003
XIII Victor Von Chun,84,19,4.42,42,1.07,0.24,4,2,1,1,12.00,0.00,GRiiNCH: 7,Wreckonize: 6,"150MM HOWITZER [sFH 18]: 71, GEWEHR 43: 5, KARABINER 98K: 5, PANZERSCHRECK: 2, TELLERMINE 43: 1",http://144.126.151.248:8010/#/gamescoreboard/8003
Top,76,3,25.33,59,0.87,0.03,1,1,0,0,56.00,15.00,Violencia: 1,[XI] Ragnarson: 5,"76MM M1 GUN [Sherman M4A3E2(76)]: 54, COAXIAL M1919 [Sherman M4A3E2(76)]: 15, HULL M1919 [Sherman M4A3E2(76)]: 6, Sherman M4A3(75)W: 1",http://144.126.151.248:8010/#/gamescoreboard/7999
TheEveryone,73,4,18.25,71,2.22,0.12,3,1,0,0,8.00,2.00,Mateo: 1,DeliveriesNRear: 6,"150MM HOWITZER [sFH 18]: 70, MP40: 2, TELLERMINE 43: 1",http://144.126.151.248:8010/#/gamescoreboard/7999
[ESPT] Valhalla,71,11,6.45,21,1.14,0.18,2,1,0,0,9.00,1.00,Top: 3,Hedley Lamarr: 5,"MG42: 32, GEWEHR 43: 28, KARABINER 98K: 11",http://144.126.151.248:8010/#/gamescoreboard/7999
PipePistoleer,69,15,4.6,33,0.78,0.17,3,1,0,0,25.00,1.00,KillerFiller19: 2,KillerFiller19: 6,"KARABINER 98K x8: 33, 150MM HOWITZER [sFH 18]: 33, WALTHER P38: 2, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/7999
//Bubbles,91,7,13,57,1.14,0.09,2,13,0,0,29.00,2.00,[2.FJg]DeadlypieUK06: 4,crapp7: 7,"150MM HOWITZER [sFH 18]: 85, GEWEHR 43: 6",http://144.126.151.248:8010/#/gamescoreboard/7997
