Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
[DC*] SoulRaver,69,41,1.68,6,0.78,0.46,4,0,0,0,7.00,0.00,phx.Maawlz: 6,phx.Knipzi: 4,"M1 GARAND: 61, BAZOOKA: 8",http://teamphx.dynv6.net:8010/#/gamescoreboard/630
mcpimmle,76,31,2.45,12,1.16,0.47,3,1,0,0,8.00,0.00,phx.sebborrr: 2,Kobold: 4,"STG44: 61, SATCHEL: 15",http://teamphx.dynv6.net:8010/#/gamescoreboard/610
Syro®,66,8,8.25,18,1.01,0.12,1,0,0,0,18.00,2.00,Centurion_Timo: 2,Mr. Chang: 5,"155MM HOWITZER [M114]: 30, M1 GARAND: 19, BOMBING RUN: 9, STRAFING RUN: 8",http://teamphx.dynv6.net:8010/#/gamescoreboard/610
phx.KAISER Mtbb,159,44,3.61,15,159.0,44,3,0,1,1,6.00,0.00,phx.MNUUU: 9,phx.MNUUU: 10,"GEWEHR 43: 155, M43 STIELHANDGRANATE: 2, UNKNOWN: 1, FELDSPATEN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/592
phx.b0rni,99,35,2.83,22,99.0,35,3,1,1,1,10.00,1.00,phx.MNUUU: 4,phx.Booze: 6,"GEWEHR 43: 65, MG42: 19, MP40: 5, M43 STIELHANDGRANATE: 4, UNKNOWN: 3, KARABINER 98K: 2, S-MINE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/592
phx.MNUUU,67,46,1.46,6,0.75,0.51,4,2,0,0,8.00,0.00,phx.KAISER Mtbb: 10,phx.KAISER Mtbb: 9,"M1 GARAND: 62, BAZOOKA: 3, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/592
Malpinsel,82,23,3.57,14,0.98,0.28,2,0,0,0,9.00,1.00,SugarFireZero: 5,™Kotzfrosch: 8,M1 GARAND: 82,http://teamphx.dynv6.net:8010/#/gamescoreboard/573
//xmas,138,8,17.25,76,1.59,0.09,3,7,0,0,38.00,1.00,phx.limit: 3,91.PzG| Okso: 12,"155MM HOWITZER [M114]: 137, M1 GARAND: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
//Soap,138,11,12.55,70,1.59,0.13,3,7,0,0,47.00,0.00,phx.Demonsoup: 6,91.PzG| Steppenfuchs: 10,"155MM HOWITZER [M114]: 134, M1 GARAND: 3, S-MINE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
//Slim X,112,10,11.2,52,1.27,0.11,3,2,0,0,23.00,0.00,phx.limit: 6,91.PzG| Okso: 8,"155MM HOWITZER [M114]: 107, M1 CARBINE: 4, TELLERMINE 43: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
phx.Tatara,102,19,5.37,32,1.17,0.22,10,19,0,0,22.00,0.00,CoRe | mohtyy: 11,//TheProkage: 13,150MM HOWITZER [sFH 18]: 102,http://teamphx.dynv6.net:8010/#/gamescoreboard/547
//sKyfe,86,28,3.07,14,0.99,0.32,5,0,1,1,14.00,0.00,phx.Tatara: 5,[1.Fjg] GottRA ✠GER✠: 10,"BROWNING M1919: 83, M1 GARAND: 1, MK2 GRENADE: 1, M1A1 THOMPSON: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
phx.Flōriānus,83,16,5.19,42,0.94,0.18,4,5,0,0,22.00,1.00,CoRe | mohtyy: 10,//muckSchnapper: 7,"150MM HOWITZER [sFH 18]: 72, MP40: 11",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
phx.limit,71,25,2.84,12,0.81,0.29,4,0,1,1,14.00,0.00,//myth: 5,//Slim X: 6,"KARABINER 98K x8: 43, FG42 x4: 21, GEWEHR 43: 7",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
//myth,67,28,2.39,15,0.77,0.32,5,0,0,0,11.00,1.00,phx.limit: 5,phx.B4ttl3frog: 7,"BROWNING M1919: 59, M1 GARAND: 7, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
CoRe | mohtyy,67,21,3.19,16,0.76,0.24,3,0,0,0,17.00,1.00,phx.Cedi: 7,phx.Cedi: 18,"M1 CARBINE: 51, M1A1 THOMPSON: 16",http://teamphx.dynv6.net:8010/#/gamescoreboard/547
Bleicher Junge,66,40,1.65,19,0.75,0.45,4,0,2,1,9.00,0.00,//0z`: 4,Void | Pocket: 5,GEWEHR 43: 66,http://teamphx.dynv6.net:8010/#/gamescoreboard/547
reiskanzler,102,3,34,91,1.16,0.03,1,4,0,0,65.00,2.00,dopamin: 1,Gevatter Tod: 9,"150MM HOWITZER [sFH 18]: 88, KARABINER 98K: 9, MP40: 3, UNKNOWN: 1, WALTHER P38: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/528
phx.limit,77,30,2.57,16,1.05,0.41,4,0,1,1,13.00,0.00,ABAna2: 5,phx.sebborrr: 6,"M1 GARAND: 66, BAZOOKA: 11",http://teamphx.dynv6.net:8010/#/gamescoreboard/528
phx.B4ttl3frog,74,31,2.39,12,0.85,0.36,4,1,1,1,10.00,1.00,БАХ DED: 4,phx.Bodinger: 6,"M1 GARAND: 62, COAXIAL M1919 [M8 Greyhound]: 7, M6 37mm [M8 Greyhound]: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/528
ABAna2,70,2,35,65,0.82,0.02,1,2,0,0,64.00,21.00,Freezer: 1,phx.limit: 5,"88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 48, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 17, HULL MG34 [Sd.Kfz.181 Tiger 1]: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/528
phx.KAISER Mtbb,67,24,2.79,18,1.21,0.44,4,0,1,1,12.00,0.00,[DC] InVidia: 6,[DC] InVidia: 5,"MG42: 38, GEWEHR 43: 20, STG44: 8, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/504
phx.vistarrk,87,38,2.29,11,0.99,0.43,4,0,1,1,9.00,0.00,chaosPudding: 7,-{BAM}-yourmother: 6,"M1 GARAND: 74, BAZOOKA: 11, UNKNOWN: 1, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/482
RedR4t,74,5,14.8,30,0.85,0.06,2,0,0,0,26.00,4.00,die_Schnekke: 5,barakesh: 5,"76MM M1 GUN [Sherman M4A3E2(76)]: 50, 75MM CANNON [Sherman M4A1]: 18, COAXIAL M1919 [Sherman M4A3E2(76)]: 5, COAXIAL M1919 [Sherman M4A1]: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/482
(WTH) fizkkk,67,9,7.44,42,1.37,0.18,4,2,1,1,20.00,1.00,Rotan der Reihe: 2,moebius: 5,"155MM HOWITZER [M114]: 40, M1 GARAND: 23, MK2 GRENADE: 3, TELLERMINE 43: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/480
